intercept	trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	trans_x_derivative1	trans_y_derivative1	trans_z_derivative1	rot_x_derivative1	rot_y_derivative1	rot_z_derivative1	trans_x_power2	trans_y_power2	trans_z_power2	rot_x_power2	rot_y_power2	rot_z_power2	trans_x_derivative1_power2	trans_y_derivative1_power2	trans_z_derivative1_power2	rot_x_derivative1_power2	rot_y_derivative1_power2	rot_z_derivative1_power2	cosine00	cosine01	cosine02	cosine03	cosine04
1.0	-0.0101671700434025	0.0060498433440301	-0.0560525220673184	-0.0002910069568687	0.0001879892289486	7.402735483382357e-05	-0.0091215738596873	0.0523066334044841	-0.0903464890473627	-1.4085655536700008e-05	-9.908624806280004e-05	0.000618987067196	0.0001033713466914	3.66006044873053e-05	0.0031418852301072	8.468504894598145e-08	3.5339950200689145e-08	5.480049263692821e-09	8.320310967773067e-05	0.002735983898111	0.0081624880831852	1.9840569189856758e-10	9.818084555162742e-09	3.831449893559346e-07	0.1005756196	0.0487063151	-0.0188985047	-0.0803977977	-0.1159230303
1.0	0.0061064144139635	-0.0714124381127874	0.0836296985040974	-0.000652862336465	0.0005316699438622	-0.0005193268814439	0.016273584457366	-0.0774622814568175	0.1396822205714158	-0.0003618553795963	0.0003436807149136	-0.0005933542362777	3.728829699506119e-05	0.0050997363172126	0.0069939264718862	4.262292303745389e-07	2.826729292064349e-07	2.697004097902467e-07	0.000264829551091	0.0060004050484952	0.0195111227437616	1.3093931574278237e-07	1.1811643380352321e-07	3.520692497087207e-07	0.0990726408	0.0437031967	-0.0268805962	-0.0881064748	-0.1186599374
1.0	-0.0016248521480264	-0.0520875715636321	-0.0651810992492301	6.401885994559392e-05	-8.198523116642598e-05	0.0004600025887524	-0.0077312665619899	0.0193248665491553	-0.1488107977533275	0.0007168811964105	-0.0006136551750286	0.0009793294701963	2.640144502946006e-06	0.0027131151113964	0.0042485756993379	4.09841442873357e-09	6.721578129412305e-09	2.1160238165890965e-07	5.9772482652543125e-05	0.0003734504671426	0.0221446535279817	5.139186497670845e-07	3.765726738394136e-07	9.590862111949655e-07	0.0975190556	0.0386107952	-0.034739154	-0.0950955338	-0.1198831019
1.0	0.0161696067314522	0.1580318310137016	-0.2257486929912318	-0.0019759995094705	-0.0001870194430755	1.9815214750361007e-05	0.0177944588794786	0.2101194025773337	-0.1605675937420017	-0.002040018369416	-0.000105034211909	-0.000440187374002	0.0002614561818498	0.0249740596135431	0.0509624723872494	3.904574061427656e-06	3.4976272088270186e-08	3.9264273560292444e-10	0.0003166427668134	0.0441501633394556	0.0257819521600965	4.161674947555098e-06	1.1032185671360268e-08	1.9376492423081098e-07	0.0959156576	0.033439514	-0.0424380632	-0.1013078907	-0.1195769199
1.0	0.0055693967699426	0.0298766811074955	0.0163827072372271	-0.000757007080053	-0.0002109751287131	-6.607984792330446e-05	-0.0106002099615096	-0.1281551499062061	0.2421314002284589	0.0012189924294175	-2.395568563760001e-05	-8.589506267366547e-05	3.101818038104707e-05	0.0008926160739989	0.0002683930964206	5.730597192503691e-07	4.4510504935509127e-08	4.366546301567045e-09	0.000112364451228	0.0164237424474821	0.0586276149765941	1.4859425429771791e-06	5.738748743675154e-10	7.3779617917129185e-09	0.0942632658	0.0281999178	-0.0499419421	-0.1066928056	-0.1177452974
1.0	0.0057085725713648	-0.1236085862067284	0.0363758176373352	-3.096152061186822e-05	0.0002840042017058	-0.0002709955994485	0.0001391758014222	-0.1534852673142239	0.0199931104001081	0.0007260455594411	0.0004949793304189	-0.0002049157515251	3.258780080253853e-05	0.0152790825840262	0.0013232001087846	9.586157585991408e-10	8.065838658654872e-08	7.343861492045186e-08	1.936990370151175e-08	0.0235577272825187	0.0003997244634709	5.27142154384186e-07	2.450045375419426e-07	4.199046522313568e-08	0.0925627242	0.0229027108	-0.0572163058	-0.1112062966	-0.1144116002
1.0	-0.0038520770196583	-0.0707963819776864	-0.0116818914789007	-0.0007039599301542	0.0002791015099214	-0.0002879014420716	-0.0095606495910231	0.052812204229042	-0.0480577091162359	-0.0006729984095423	-4.902691784399989e-06	-1.6905842623099986e-05	1.483849736537957e-05	0.0050121277011304	0.0001364665885248	4.955595832627061e-07	7.789765284040537e-08	8.288724034690687e-08	9.140602060233016e-05	0.00278912891553	0.0023095434055007	4.529268592465081e-07	2.4036386732823147e-11	2.8580751479702416e-10	0.0908149015	0.0175587148	-0.0642277237	-0.1148114994	-0.1096183565
1.0	-0.0023739722883249	-0.140130978936753	0.055437029629104	0.0005130051155644	0.000155983071598	-6.60400152356881e-05	0.0014781047313333	-0.0693345969590666	0.0671189211080047	0.0012169650457185	-0.0001231184383234	0.0002218614268359	5.635744425734563e-06	0.0196366912577727	0.0030732642540981	2.6317424859524345e-07	2.433071862514679e-08	4.3612836123299165e-09	2.1847935967901817e-06	0.0048072863354762	0.0045049495707025	1.481003922500874e-06	1.5158149855192853e-08	4.92224927176667e-08	0.0890206905	0.0121788474	-0.070943974	-0.1174789681	-0.1034267134
1.0	-3.12244935543049e-05	0.0552647229212084	-0.0946753890090832	0.0001340135645367	0.0001149841900016	-0.0002360077020551	0.0023427477947705	0.1953957018579614	-0.1501124186381872	-0.0003789915510277	-4.0998881596399984e-05	-0.0001699676868194	9.749689977228283e-10	0.0030541895995579	0.0089634292840212	1.7959635479832266e-08	1.322136395032405e-08	5.5699635429328855e-08	5.488467229902487e-06	0.0381794803045653	0.0225337382294063	1.4363459575038177e-07	1.680908292155625e-09	2.8889014562741684e-08	0.0871810076	0.0067740994	-0.0773341911	-0.1191869159	-0.0959156576
1.0	0.0055616163213869	0.091999388952118	-0.0757462047674977	0.0002270037894137	0.0001149925074199	-6.601305338139031e-05	0.0055928408149412	0.0367346660309095	0.0189291842415855	9.2990224877e-05	8.317418299995211e-09	0.0001699946486737	3.093157610631715e-05	0.008463887567563	0.0057374875366796	5.1530720408179457e-08	1.3223276762715756e-08	4.357723216734287e-09	3.12798683812722e-05	0.0013494356884024	0.0003583140160518	8.647181922675027e-09	6.917944717709518e-17	2.8898180577697983e-08	0.0852967926	0.0013555122	-0.0833690079	-0.119921393	-0.0871810076
